kurz;optimistic;n/a;distance-pruning;264346;733846;10992;81728;10;10;888792;888837;8888026;4;342028;0.215
kurz;optimistic;n/a;distance-pruning;264346;733846;155780;208552;10;10;236001;236165;2360722;3;125210;0.081
kurz;optimistic;n/a;distance-pruning;264346;733846;223946;33429;10;10;505019;505019;5050190;1;166544;0.074
kurz;optimistic;n/a;distance-pruning;264346;733846;263856;247037;10;10;123472;123928;1237778;8;32980;0.028
kurz;optimistic;n/a;distance-pruning;264346;733846;107275;82809;10;10;879593;879641;8796212;1;165769;0.074
kurz;optimistic;n/a;distance-pruning;264346;733846;184019;199241;10;10;213093;213135;2131182;1;53020;0.026
kurz;optimistic;n/a;distance-pruning;264346;733846;112191;37949;10;10;166896;167190;1670880;6;60660;0.04
kurz;optimistic;n/a;distance-pruning;264346;733846;238341;128222;10;10;854512;854568;8545320;1;257145;0.116
kurz;optimistic;n/a;distance-pruning;264346;733846;49947;249776;10;10;460921;460988;4609575;1;173453;0.083
kurz;optimistic;n/a;distance-pruning;264346;733846;223705;111628;10;10;422057;422151;4221178;1;141851;0.064
kurz;optimistic;n/a;distance-pruning;264346;733846;2552;102066;10;10;907448;907464;9074564;1;254907;0.108
kurz;optimistic;n/a;distance-pruning;264346;733846;12999;189874;10;10;244960;245032;2449888;1;79302;0.038
kurz;optimistic;n/a;distance-pruning;264346;733846;218103;130863;10;10;131540;131736;1316588;1;19499;0.013
kurz;optimistic;n/a;distance-pruning;264346;733846;255505;256184;10;10;24745;28185;272567;8;265889;0.126
kurz;optimistic;n/a;distance-pruning;264346;733846;84041;144573;10;10;780844;780845;7808442;1;258958;0.116
kurz;optimistic;n/a;distance-pruning;264346;733846;11843;253457;10;10;263577;263612;2635955;1;57944;0.027
kurz;optimistic;n/a;distance-pruning;264346;733846;215508;187800;10;10;359511;359629;3595798;1;145349;0.07
kurz;optimistic;n/a;distance-pruning;264346;733846;51389;105604;10;10;496980;497050;4970199;4;178401;0.107
kurz;optimistic;n/a;distance-pruning;264346;733846;138033;41771;10;10;517611;517639;5176272;1;158172;0.071
kurz;optimistic;n/a;distance-pruning;264346;733846;250409;72923;10;10;669240;669261;6692524;1;198232;0.088
kurz;optimistic;n/a;distance-pruning;264346;733846;43032;212654;10;10;521851;521867;5218597;1;155064;0.072
kurz;optimistic;n/a;distance-pruning;264346;733846;61888;237378;10;10;1067408;1067409;10674082;1;242924;0.106
kurz;optimistic;n/a;distance-pruning;264346;733846;57653;209893;10;10;855270;855270;8552700;1;255095;0.116
kurz;optimistic;n/a;distance-pruning;264346;733846;20641;123047;10;10;366343;366343;3663430;1;93104;0.04
kurz;optimistic;n/a;distance-pruning;264346;733846;198490;184287;10;10;206799;207011;2069327;3;104583;0.065
kurz;optimistic;n/a;distance-pruning;264346;733846;126612;251401;10;10;587800;587914;5878668;1;203308;0.094
kurz;optimistic;n/a;distance-pruning;264346;733846;56441;90695;10;10;505635;505660;5056484;1;56921;0.026
kurz;optimistic;n/a;distance-pruning;264346;733846;115721;90557;10;10;902669;902701;9026881;1;201930;0.086
kurz;optimistic;n/a;distance-pruning;264346;733846;162349;178171;10;10;318795;318916;3188524;1;40968;0.02
kurz;optimistic;n/a;distance-pruning;264346;733846;220570;67543;10;10;143417;143686;1435628;7;41317;0.031
kurz;optimistic;n/a;distance-pruning;264346;733846;143960;40004;10;10;296126;296126;2961260;1;96176;0.044
kurz;optimistic;n/a;distance-pruning;264346;733846;226988;238763;10;10;392620;392854;3927396;6;101445;0.059
kurz;optimistic;n/a;distance-pruning;264346;733846;214297;205523;10;10;90167;90354;902785;1;14835;0.011
kurz;optimistic;n/a;distance-pruning;264346;733846;94764;99573;10;10;215119;215608;2154428;8;41886;0.03
kurz;optimistic;n/a;distance-pruning;264346;733846;65199;258869;10;10;1205062;1205062;12050620;1;250687;0.105
kurz;optimistic;n/a;distance-pruning;264346;733846;90930;151388;10;10;640005;640020;6400124;1;234407;0.107
kurz;optimistic;n/a;distance-pruning;264346;733846;104738;36950;10;10;59855;59996;599347;1;4072;0.007
kurz;optimistic;n/a;distance-pruning;264346;733846;64776;238740;10;10;988329;988329;9883290;1;236664;0.099
kurz;optimistic;n/a;distance-pruning;264346;733846;29839;128673;10;10;523424;523504;5234775;1;156350;0.072
kurz;optimistic;n/a;distance-pruning;264346;733846;168512;68989;10;10;665713;665718;6657148;1;200707;0.092
kurz;optimistic;n/a;distance-pruning;264346;733846;13332;1403;10;10;573694;573867;5737881;6;139679;0.084
