NA;USA-road-dt.NY.gr;130220;35448;10;0.099;498719;498800;10;17;5;308;245;800
NA;USA-road-dt.NY.gr;252242;128911;10;0.099;588111;588132;10;15;4;311;296;1200
NA;USA-road-dt.NY.gr;215874;222918;10;0.1;53967;54295;10;17;4;41;22;200
NA;USA-road-dt.NY.gr;114291;157526;10;0.102;1062833;1062862;10;15;4;593;628;2000
NA;USA-road-dt.NY.gr;36751;132057;10;0.101;232639;232751;10;17;2;169;122;600
NA;USA-road-dt.NY.gr;106972;42998;10;0.104;274309;274578;10;15;4;134;103;400
NA;USA-road-dt.NY.gr;2823;218160;10;0.099;865420;865420;10;11;0;299;0;1400
NA;USA-road-dt.NY.gr;245160;255694;10;0.101;128868;129970;10;17;3;65;40;400
NA;USA-road-dt.NY.gr;230232;98381;10;0.098;479383;479383;10;9;0;65;0;400
NA;USA-road-dt.NY.gr;146825;243949;10;0.099;651413;651420;10;17;5;238;320;1200
NA;USA-road-dt.NY.gr;187169;162413;10;0.105;375645;375691;10;17;2;256;172;1000
NA;USA-road-dt.NY.gr;239369;182489;10;0.1;624515;624567;10;15;4;371;334;1000
NA;USA-road-dt.NY.gr;52306;230733;10;0.097;362339;362555;10;17;2;218;153;800
NA;USA-road-dt.NY.gr;75408;224919;10;0.098;225796;225864;10;17;3;124;84;400
NA;USA-road-dt.NY.gr;186581;53553;10;0.117;148751;148937;10;17;3;70;95;400
NA;USA-road-dt.NY.gr;106056;128601;10;0.097;554174;554356;10;15;4;247;177;800
NA;USA-road-dt.NY.gr;142377;222272;10;0.1;242170;242209;10;17;3;177;199;800
NA;USA-road-dt.NY.gr;196337;29159;10;0.114;253815;253831;10;17;3;104;62;600
NA;USA-road-dt.NY.gr;67057;260834;10;0.106;1090076;1090158;10;17;4;322;190;1800
NA;USA-road-dt.NY.gr;23196;260284;10;0.102;394141;394296;10;17;4;294;209;800
NA;USA-road-dt.NY.gr;181884;79337;10;0.104;832237;832252;10;17;4;421;187;2000
NA;USA-road-dt.NY.gr;144250;239480;10;0.097;546714;546715;10;15;4;196;225;1000
NA;USA-road-dt.NY.gr;235632;187483;10;0.1;360632;360717;10;17;5;224;177;800
NA;USA-road-dt.NY.gr;188434;219586;10;0.104;296493;296494;10;13;1;171;322;800
NA;USA-road-dt.NY.gr;185291;204767;10;0.106;328401;328462;10;15;4;244;148;800
NA;USA-road-dt.NY.gr;226031;176861;10;0.097;842173;842193;10;15;4;395;355;1200
NA;USA-road-dt.NY.gr;261364;38911;10;0.096;563623;563626;10;11;0;154;0;1000
NA;USA-road-dt.NY.gr;55147;231736;10;0.099;473766;473892;10;17;4;194;109;1000
NA;USA-road-dt.NY.gr;211666;157486;10;0.099;177376;177825;10;17;6;116;81;400
NA;USA-road-dt.NY.gr;187255;62431;10;0.103;730672;730677;10;15;4;220;177;1200
NA;USA-road-dt.NY.gr;234095;45412;10;0.102;486843;486857;10;15;4;190;135;1000
NA;USA-road-dt.NY.gr;209206;224567;10;0.103;454886;454904;10;17;2;261;208;1200
NA;USA-road-dt.NY.gr;91710;228304;10;0.097;933577;933577;10;9;0;191;0;1000
NA;USA-road-dt.NY.gr;69484;53964;10;0.107;275507;275784;10;17;4;119;65;400
NA;USA-road-dt.NY.gr;250163;58589;10;0.104;724349;724421;10;17;4;416;411;1200
NA;USA-road-dt.NY.gr;95791;93380;10;0.099;110531;111618;10;17;3;99;69;400
NA;USA-road-dt.NY.gr;122728;117086;10;0.101;341342;341400;10;15;2;202;137;800
NA;USA-road-dt.NY.gr;184329;135587;10;0.1;252108;252149;10;17;5;119;122;400
NA;USA-road-dt.NY.gr;55973;214318;10;0.111;223276;223287;10;17;6;180;136;600
NA;USA-road-dt.NY.gr;186137;243224;10;0.101;666124;666202;10;17;2;272;287;800
NA;USA-road-dt.NY.gr;35088;79638;10;0.11;738236;738249;10;17;2;348;230;1200
NA;USA-road-dt.NY.gr;113252;14379;10;0.103;167790;167917;10;17;5;158;128;400
NA;USA-road-dt.NY.gr;197064;180058;10;0.1;251302;251346;10;17;4;200;156;800
NA;USA-road-dt.NY.gr;156063;57831;10;0.108;1031622;1031632;10;15;4;450;179;2400
NA;USA-road-dt.NY.gr;74617;214708;10;0.103;620989;620989;10;9;0;230;0;1200
NA;USA-road-dt.NY.gr;55681;33745;10;0.105;279789;279871;10;17;5;197;138;600
NA;USA-road-dt.NY.gr;149906;205576;10;0.102;172706;172732;10;17;4;54;78;400
NA;USA-road-dt.NY.gr;154125;244377;10;0.098;643095;643126;10;15;4;276;160;1000
NA;USA-road-dt.NY.gr;25554;103528;10;0.101;40947;41282;10;17;4;44;24;200
NA;USA-road-dt.NY.gr;107061;29500;10;0.099;103476;104094;10;17;5;64;41;200
NA;USA-road-dt.NY.gr;105218;213028;10;0.105;468675;468727;10;17;6;297;301;1000
NA;USA-road-dt.NY.gr;65018;47328;10;0.098;390529;390842;10;17;4;106;7;600
NA;USA-road-dt.NY.gr;187786;21265;10;0.104;111507;111765;10;17;3;66;38;400
NA;USA-road-dt.NY.gr;105207;92162;10;0.093;156655;156868;10;17;4;94;83;400
NA;USA-road-dt.NY.gr;168976;202359;10;0.101;248814;248870;10;15;2;176;245;800
NA;USA-road-dt.NY.gr;259237;56606;10;0.108;444084;444091;10;15;4;233;81;1200
NA;USA-road-dt.NY.gr;258552;204429;10;0.101;467813;467883;10;15;2;210;29;800
NA;USA-road-dt.NY.gr;47821;237916;10;0.101;833544;833602;10;17;3;306;299;1200
NA;USA-road-dt.NY.gr;144963;194744;10;0.104;110262;110286;10;17;1;64;21;400
NA;USA-road-dt.NY.gr;66693;89435;10;0.099;241014;241765;10;17;5;90;29;400
NA;USA-road-dt.NY.gr;105404;36800;10;0.099;82298;82868;10;17;2;59;57;400
NA;USA-road-dt.NY.gr;211563;12889;10;0.107;413460;413468;10;15;4;219;95;1200
NA;USA-road-dt.NY.gr;190569;45402;10;0.099;268398;268437;10;13;2;120;141;800
NA;USA-road-dt.NY.gr;61615;95664;10;0.101;579539;579560;10;15;1;167;264;1000
NA;USA-road-dt.NY.gr;109825;77449;10;0.097;698942;699017;10;17;5;455;378;1000
NA;USA-road-dt.NY.gr;78919;25966;10;0.098;548632;548701;10;15;3;207;210;600
NA;USA-road-dt.NY.gr;20745;254345;10;0.097;312400;312451;10;17;4;281;180;800
NA;USA-road-dt.NY.gr;208131;140111;10;0.102;171081;171112;10;17;4;127;81;800
NA;USA-road-dt.NY.gr;145189;227043;10;0.102;606792;606801;10;15;4;295;190;1400
NA;USA-road-dt.NY.gr;143977;226786;10;0.102;642203;642211;10;15;4;192;148;1000
NA;USA-road-dt.NY.gr;214212;210682;10;0.103;71333;71333;10;9;0;4;0;200
NA;USA-road-dt.NY.gr;189089;83632;10;0.1;805260;805260;10;9;0;201;0;1200
NA;USA-road-dt.NY.gr;164903;5092;10;0.104;525705;525807;10;15;2;312;284;1000
NA;USA-road-dt.NY.gr;187121;21721;10;0.102;300231;300264;10;17;5;179;194;800
NA;USA-road-dt.NY.gr;243036;62623;10;0.097;971423;971427;10;15;4;502;661;1600
NA;USA-road-dt.NY.gr;79045;56686;10;0.107;501193;501214;10;15;4;269;288;1200
NA;USA-road-dt.NY.gr;166270;141839;10;0.101;271583;271583;10;9;0;21;0;200
NA;USA-road-dt.NY.gr;193760;176151;10;0.099;915384;915417;10;15;0;335;0;1400
NA;USA-road-dt.NY.gr;149269;44937;10;0.101;415787;415848;10;11;0;211;0;800
NA;USA-road-dt.NY.gr;183295;262239;10;0.113;407667;407718;10;17;6;261;136;600
NA;USA-road-dt.NY.gr;256890;199278;10;0.107;278445;278568;10;17;4;107;7;600
NA;USA-road-dt.NY.gr;177992;202443;10;0.107;310874;310978;10;15;3;166;79;800
NA;USA-road-dt.NY.gr;154368;12541;10;0.11;538541;538592;10;17;3;252;61;1200
NA;USA-road-dt.NY.gr;66593;76068;10;0.094;91224;91757;10;15;4;38;35;200
NA;USA-road-dt.NY.gr;34726;8670;10;0.094;53002;54733;10;17;5;40;15;200
NA;USA-road-dt.NY.gr;62096;223243;10;0.104;394629;394631;10;15;4;127;154;800
NA;USA-road-dt.NY.gr;76600;225878;10;0.101;845009;845016;10;17;4;201;258;1200
NA;USA-road-dt.NY.gr;47865;219958;10;0.105;239118;239179;10;17;2;119;50;600
NA;USA-road-dt.NY.gr;259208;119979;10;0.101;1063094;1063110;10;15;4;344;309;1400
NA;USA-road-dt.NY.gr;230816;204783;10;0.103;560557;560565;10;15;4;243;216;1200
NA;USA-road-dt.NY.gr;25118;25258;10;0.098;146837;146883;10;17;4;74;22;400
NA;USA-road-dt.NY.gr;218971;13835;10;0.11;398138;398318;10;17;5;316;229;1200
NA;USA-road-dt.NY.gr;203319;5893;10;0.099;614020;614119;10;17;4;331;147;1000
NA;USA-road-dt.NY.gr;233810;203223;10;0.101;649664;649681;10;15;2;211;140;1200
NA;USA-road-dt.NY.gr;134606;199846;10;0.105;132464;132561;10;17;4;84;76;400
NA;USA-road-dt.NY.gr;61093;175952;10;0.103;893477;893477;10;9;0;297;0;1800
NA;USA-road-dt.NY.gr;11020;54501;10;0.108;363845;364114;10;17;2;245;69;1000
NA;USA-road-dt.NY.gr;20734;245117;10;0.101;367424;367479;10;17;5;208;95;600
NA;USA-road-dt.NY.gr;167601;264153;10;0.098;503366;503469;10;17;2;236;98;800
NA;USA-road-dt.NY.gr;164432;140753;10;0.107;239209;239397;10;17;5;232;154;800
NA;USA-road-dt.NY.gr;119328;88565;10;0.109;1074219;1074273;10;17;6;441;245;1400
NA;USA-road-dt.NY.gr;2760;129996;10;0.105;932823;932842;10;11;2;557;392;1600
NA;USA-road-dt.NY.gr;211614;250663;10;0.099;307505;307628;10;17;3;209;214;600
NA;USA-road-dt.NY.gr;32063;236844;10;0.101;484343;484994;10;17;3;206;259;800
NA;USA-road-dt.NY.gr;156062;213646;10;0.1;244943;245132;10;17;5;148;116;600
NA;USA-road-dt.NY.gr;225987;202001;10;0.101;638148;638200;10;15;4;299;255;1000
NA;USA-road-dt.NY.gr;22908;88422;10;0.096;676183;676245;10;17;4;195;131;800
NA;USA-road-dt.NY.gr;43579;138684;10;0.103;441957;442059;10;15;4;241;80;1000
NA;USA-road-dt.NY.gr;198858;184786;10;0.102;304068;304103;10;17;5;193;132;1000
NA;USA-road-dt.NY.gr;179543;39377;10;0.105;443649;443705;10;17;5;337;204;1200
NA;USA-road-dt.NY.gr;79871;99144;10;0.095;670454;670517;10;17;3;265;242;1000
NA;USA-road-dt.NY.gr;113216;241340;10;0.103;418969;419040;10;17;4;267;168;800
NA;USA-road-dt.NY.gr;53197;9021;10;0.101;355965;356076;10;15;4;187;244;800
